"quad","year","totCover","group"
"Q8",26,66.9973185295736,"P1E1"
"Q8",32,1516.98048376875,"P1E1"
"Q8",49,983.366127369484,"P1E1"
"Q8",23,187.09044910902,"P1E1"
"Q8",47,741.575858732496,"P1E1"
"Q8",54,878.142992413046,"P1E1"
"Q8",50,854.270775291705,"P1E1"
"Q8",46,980.374254168483,"P1E1"
"Q8",38,2701.5623281814,"P1E1"
"Q8",29,269.236448818322,"P1E1"
"Q8",31,714.535149907869,"P1E1"
"Q8",56,1048.47740617004,"P1E1"
"Q8",51,1236.65525469449,"P1E1"
"Q9",31,26.9607701934756,"P1E1"
"Q9",35,0.5,"P1E1"
"Q9",34,0.25,"P1E1"
"Q9",40,11.3686738518511,"P1E1"
"Q9",55,0.25,"P1E1"
"Q9",36,1,"P1E1"
"Q9",41,7.64035070843083,"P1E1"
"Q9",42,18,"P1E1"
"Q9",38,13.6463159825199,"P1E1"
"Q9",45,0.5,"P1E1"
